Place,TmPl,Name,Cl,School,Type,3k,3k_Place,3k_TmPl,5k,5k_Place,5k_TmPl,8k,8k_Place,8k_TmPl,Finish,Location,3k_Sec,5k_Sec,8k_Sec,Finish_Sec
198,163,Lane Boyer,JR,Arkansas,Team,8:54,136,109,15:25,166,131,25:21,194,158,31:55.6,Indiana State,534,925,1521,1916
199,164,Thorsten Baumeister,FR,Iona,Team,8:55,142,115,15:26,175,139,25:21,195,159,31:56.1,Indiana State,535,926,1521,1916
200,165,Rick Elliott,SO,Arkansas,Team,9:01,189,153,15:33,201,164,25:27,207,170,31:56.5,Indiana State,541,933,1527,1916
201,166,Ben Engelhardt,JR,Arizona State,Team,9:03,202,164,15:35,209,172,25:27,209,172,31:57.0,Indiana State,543,935,1527,1917
202,167,Brian Sklodowski,JR,William & Mary,Team,8:59,170,138,15:32,197,160,25:21,196,160,31:57.6,Indiana State,539,932,1521,1918
203,168,James Grimes,SO,Georgetown,Team,8:54,137,110,15:26,174,138,25:23,199,162,31:57.7,Indiana State,534,926,1523,1918
204,,Christian Escareno,JR,Brown,Individual,8:49,81,,15:08,86,,25:07,172,,32:01.0,Indiana State,529,908,1507,1921
205,169,Luke Lovelace,SO,Louisville,Team,9:03,203,165,15:39,221,183,25:27,210,173,32:03.6,Indiana State,543,939,1527,1924
206,170,Michael Anderson,SR,Providence,Team,9:09,235,197,15:42,225,187,25:33,215,178,32:05.0,Indiana State,549,942,1533,1925
207,171,Jordan Swarthout,JR,Washington,Team,9:04,211,173,15:36,214,176,25:23,202,165,32:06.8,Indiana State,544,936,1523,1927
208,172,Michael Banks,SR,Georgetown,Team,8:50,92,74,15:18,136,107,25:36,217,179,32:07.6,Indiana State,530,918,1536,1928
209,173,Max Goldak,SR,Michigan State,Team,9:04,212,174,15:36,215,177,25:29,212,175,32:09.3,Indiana State,544,936,1529,1929
210,174,Andrew North,SO,NC State,Team,9:08,232,194,15:45,231,193,25:40,220,182,32:12.5,Indiana State,548,945,1540,1933
211,175,Ben Murphy-Baum,JR,Iowa State,Team,9:02,198,160,15:33,202,165,25:27,208,171,32:15.2,Indiana State,542,933,1527,1935
212,176,Ben Massam,SR,William & Mary,Team,9:00,181,146,15:34,204,167,25:31,213,176,32:17.1,Indiana State,540,934,1531,1937
213,177,Matt Frerker,SO,Portland,Team,9:12,239,201,15:54,235,197,25:46,223,185,32:20.2,Indiana State,552,954,1546,1940
214,178,Joseph Dimambro,JR,Michigan State,Team,9:05,220,182,15:38,219,181,25:38,218,180,32:21.8,Indiana State,545,938,1538,1942
215,179,Patrick Russell,JR,Arkansas,Team,8:57,156,128,15:24,163,130,25:29,211,174,32:22.7,Indiana State,537,924,1529,1943
216,180,Justin Marpole-Bird,JR,Stanford,Team,8:46,62,50,15:23,156,124,25:40,219,181,32:23.5,Indiana State,526,923,1540,1944
217,181,Bobby Nicolls,FR,Oklahoma,Team,9:08,233,195,15:50,233,195,25:55,228,190,32:24.7,Indiana State,548,950,1555,1945
218,182,Wes Rickman,FR,Florida State,Team,9:06,225,187,15:41,223,185,25:44,221,183,32:25.9,Indiana State,546,941,1544,1946
219,183,Michael Chinchar,JR,Arkansas,Team,9:03,204,166,15:43,227,189,25:45,222,184,32:26.7,Indiana State,543,943,1545,1947
220,184,Julian Meyer,FR,Ohio State,Team,9:06,226,188,15:48,232,194,25:53,227,189,32:30.5,Indiana State,546,948,1553,1950
221,185,Mike McFarland,JR,Minnesota,Team,9:12,240,202,15:52,234,196,25:51,226,188,32:32.7,Indiana State,552,952,1551,1953
222,186,Alden Bahr,SO,BYU,Team,8:52,118,97,15:24,162,129,25:19,193,157,32:34.1,Indiana State,532,924,1519,1954
223,187,Jared Bell,SR,Florida State,Team,9:07,229,191,15:44,229,191,25:50,225,187,32:35.2,Indiana State,547,944,1550,1955
224,188,Mark Dennin,FR,Georgetown,Team,8:44,48,39,14:54,41,34,25:16,183,148,32:36.5,Indiana State,524,894,1516,1956
225,189,Matt Terry,SO,Providence,Team,9:06,227,189,15:45,230,192,25:56,229,191,32:41.8,Indiana State,546,945,1556,1962
226,190,Joey Bywater,FR,Washington,Team,9:05,221,183,15:38,220,182,25:49,224,186,32:45.4,Indiana State,545,938,1549,1965
227,191,Brad Miller,SR,Syracuse,Team,8:48,74,60,15:08,85,70,25:24,203,166,32:56.0,Indiana State,528,908,1524,1976
228,192,Derek Storkel,FR,Minnesota,Team,9:13,243,205,16:01,241,203,26:07,233,195,32:57.3,Indiana State,553,961,1567,1977
229,193,Sean Olson,SO,Minnesota,Team,9:07,230,192,15:55,236,198,26:09,234,196,32:59.7,Indiana State,547,955,1569,1980
230,194,Carl Mackenzie,SO,Villanova,Team,8:58,163,133,15:36,212,174,26:03,230,192,33:00.8,Indiana State,538,936,1563,1981
231,195,Jordan Kyle,SR,Colorado,Team,9:17,245,207,16:04,242,204,26:30,241,203,33:02.1,Indiana State,557,964,1590,1982
232,196,Brendan Gregg,JR,Stanford,Team,8:58,164,134,15:41,222,184,26:04,231,193,33:04.0,Indiana State,538,941,1564,1984
233,197,Austin Roth,FR,Texas,Team,9:09,236,198,15:55,238,200,26:09,235,197,33:04.6,Indiana State,549,955,1569,1985
234,,Ingen Van,JR,Binghamton,Individual,8:59,171,,15:23,160,,25:34,216,,33:05.6,Indiana State,539,923,1534,1986
235,198,Shane Geiger,FR,Portland,Team,9:26,249,211,16:13,245,207,26:22,240,202,33:08.7,Indiana State,566,973,1582,1989
236,199,Cory Leslie,FR,Ohio State,Team,8:59,172,139,15:42,224,186,26:14,236,198,33:13.7,Indiana State,539,942,1574,1994
237,200,Nick Happe,FR,Arizona State,Team,9:07,231,193,15:55,237,199,26:17,237,199,33:17.1,Indiana State,547,955,1577,1997
238,201,Justin Harbor,JR,Florida State,Team,9:12,241,203,15:56,239,201,26:21,239,201,33:18.2,Indiana State,552,956,1581,1998
239,202,Scott McClain,SR,Louisville,Team,9:01,190,154,15:44,228,190,26:07,232,194,33:19.5,Indiana State,541,944,1567,2000
240,203,Robert Cosby,JR,Portland,Team,9:10,237,199,16:01,240,202,26:34,242,204,33:22.1,Indiana State,550,961,1594,2002
241,204,Craig Murphy,FR,Iona,Team,8:59,173,140,15:43,226,188,26:20,238,200,33:23.3,Indiana State,539,943,1580,2003
242,205,Jeff Palmer,JR,Alabama,Team,9:23,247,209,16:17,247,209,26:41,244,206,33:25.5,Indiana State,563,977,1601,2005
243,206,Robert Wetzel,JR,Texas,Team,9:12,242,204,16:07,244,206,26:39,243,205,33:28.5,Indiana State,552,967,1599,2009
244,207,Jeff Sanders,SO,Auburn,Team,9:24,248,210,16:22,248,210,26:59,246,208,33:53.6,Indiana State,564,982,1619,2034
245,208,Greg Dame,SO,NC State,Team,9:08,234,196,16:06,243,205,26:49,245,207,34:09.8,Indiana State,548,966,1609,2050
246,209,Benjamin Johnson,FR,Stanford,Team,8:50,93,75,15:15,129,102,25:17,187,151,34:20.1,Indiana State,530,915,1517,2060
247,210,Chase Violet,SO,Louisville,Team,9:16,244,206,16:17,246,208,27:39,247,209,34:29.8,Indiana State,556,977,1659,2070
248,211,Brian Himelright,FR,NC State,Team,9:18,246,208,16:32,249,211,27:41,248,210,34:54.6,Indiana State,558,992,1661,2095
249,,Marco Anzures,SR,UCLA,Individual,8:53,129,,15:18,138,,25:16,184,,35:10.1,Indiana State,533,918,1516,2110
250,212,Charles Mitchell,SO,Auburn,Team,10:26,250,212,18:00,250,212,00:00,249,211,37:10.0,Indiana State,626,1080,0,2230
