Place,TmPl,Name,Cl,School,Type,3k,3k_Place,3k_TmPl,5k,5k_Place,5k_TmPl,8k,8k_Place,8k_TmPl,Finish,Location,3k_Sec,5k_Sec,8k_Sec,Finish_Sec
97,79,Matt Leeder,FR,Florida State,Team,9:04,130,100,15:26,127,100,24:52,116,92,31:06.1,Indiana State,544,926,1492,1866
98,80,Brandon Bethke,SO,Wisconsin,Team,9:07,169,135,15:22,93,72,24:50,110,87,31:06.3,Indiana State,547,922,1490,1866
99,,Jeremy Criscione,JR,Florida,Individual,9:04,131,,15:28,142,,24:52,117,,31:06.3,Indiana State,544,928,1492,1866
100,81,Jeff See,JR,Ohio State,Team,9:02,108,80,15:23,101,77,24:51,114,90,31:07.0,Indiana State,542,923,1491,1867
101,,Ulices Pina,SR,UC Riverside,Individual,9:00,77,,15:23,95,,24:50,111,,31:08.0,Indiana State,540,923,1490,1868
102,82,Ben Guest,FR,Villanova,Team,9:01,96,69,15:27,132,104,25:02,138,109,31:08.6,Indiana State,541,927,1502,1869
103,83,Timothy McLeod,JR,Indiana,Team,9:04,132,101,15:28,143,112,24:53,122,96,31:08.7,Indiana State,544,928,1493,1869
104,,Drew Shackleton,JR,UCLA,Individual,9:01,97,,15:27,133,,24:52,118,,31:09.0,Indiana State,541,927,1492,1869
105,84,Ben Ashkettle,FR,Northern Arizona,Team,9:12,221,183,15:38,191,155,25:03,140,111,31:09.3,Indiana State,552,938,1503,1869
106,,Craig Leon,SR,Ohio U.,Individual,9:00,78,,15:19,80,,24:43,90,,31:09.4,Indiana State,540,919,1483,1869
107,85,Erik Stanley,SR,Texas,Team,9:00,79,58,15:21,85,64,24:52,119,93,31:09.8,Indiana State,540,921,1492,1870
108,86,Chris Barnicle,JR,Arkansas,Team,8:57,24,16,15:11,34,24,24:38,88,71,31:10.3,Indiana State,537,911,1478,1870
109,87,Matt Johnsrud,SR,Cal Poly,Team,9:02,109,81,15:25,122,95,24:49,107,84,31:10.6,Indiana State,542,925,1489,1871
110,88,Kyle Alcorn,SR,Arizona State,Team,9:02,110,82,15:17,71,54,24:43,91,72,31:10.9,Indiana State,542,917,1483,1871
111,89,Evan Anderson,SO,Cal Poly,Team,9:02,111,83,15:27,134,105,24:49,108,85,31:11.9,Indiana State,542,927,1489,1872
112,,Felix Kibioywo,SO,Auburn,Individual,8:58,49,,15:09,18,,24:19,39,,31:12.3,Indiana State,538,909,1459,1872
113,,Joseph Maina,JR,Eastern Kentucky,Individual,8:57,25,,15:15,58,,24:45,96,,31:12.9,Indiana State,537,915,1485,1873
114,90,Jeff Lease,JR,Cal Poly,Team,9:08,189,155,15:37,183,148,25:06,152,121,31:14.2,Indiana State,548,937,1506,1874
115,91,Gavin Coombs,JR,NC State,Team,9:00,80,59,15:25,121,94,24:55,124,98,31:15.1,Indiana State,540,925,1495,1875
116,92,Brandon Hebbert,SO,BYU,Team,9:07,170,136,15:27,138,108,24:52,120,94,31:16.3,Indiana State,547,927,1492,1876
117,93,Michael Coe,SO,California,Team,9:07,171,137,15:30,151,119,24:52,121,95,31:16.9,Indiana State,547,930,1492,1877
